time,open,high,low,close
1645766100,1913.425,1914.97,1913.325,1914.255
1645767000,1914.255,1914.596,1911.91,1914.105
1645767900,1914.105,1916.836,1913.96,1916.6
1645768800,1916.6,1917,1914.87,1915.5
1645769700,1915.5,1917.21,1915,1916.73
1645770600,1916.73,1917.48,1915.7,1916.745
1645771500,1916.745,1920.05,1915.9,1919.315
1645772400,1919.315,1921.435,1918.2,1919.07
1645773300,1919.07,1919.7,1916.225,1917.265
1645774200,1917.265,1919.11,1914.365,1915.275
1645775100,1915.275,1916.67,1913.08,1913.5
1645776000,1913.5,1915.67,1911.33,1911.95
1645776900,1911.95,1913.83,1909.045,1912
1645777800,1912,1915.89,1911.525,1913.31
1645778700,1913.31,1914.26,1911.37,1914.05
1645779600,1914.05,1914.05,1910.63,1911.05
1645780500,1911.05,1913.005,1910.6,1911.335
1645781400,1911.335,1911.65,1908.525,1910.165
1645782300,1910.165,1911.036,1909.295,1910.766
1645783200,1910.766,1911.5,1909.5,1909.535
1645784100,1909.535,1909.815,1907.22,1907.595
1645785000,1907.595,1911.556,1907.245,1908.995
1645785900,1908.995,1911.395,1908.76,1910.195
1645786800,1910.195,1914.015,1909.925,1909.95
1645787700,1909.95,1910.19,1901.52,1903.66
1645788600,1903.66,1905.49,1892.885,1894.41
1645789500,1894.41,1901.02,1894.02,1898.986
1645790400,1898.986,1903.24,1898.836,1902.04
1645791300,1902.04,1905.145,1900.705,1904.9
1645792200,1904.9,1907.046,1903.725,1905.21
1645793100,1905.21,1905.64,1894.97,1895.795
1645794000,1895.795,1898.006,1890.5,1890.72
1645794900,1890.72,1896.166,1890.585,1893.34
1645795800,1893.34,1895.3,1888.55,1891.345
1645796700,1891.345,1892.255,1886.225,1887.456
1645797600,1887.456,1890.266,1885.135,1890.22
1645798500,1890.22,1892.965,1887.575,1890.015
1645799400,1890.015,1893.766,1887.955,1892.085
1645800300,1892.085,1893.59,1887.93,1889.065
1645801200,1889.065,1890.24,1882.995,1886.855
1645802100,1886.855,1888.266,1884.305,1887.12
1645803000,1887.12,1889.82,1885.42,1889.616
1645803900,1889.616,1890.545,1886.7,1889.28
1645804800,1889.28,1890.54,1885.185,1887.345
1645805700,1887.345,1887.47,1885.04,1886.09
1645806600,1886.09,1886.925,1884.474,1885.865
1645807500,1885.865,1885.865,1883.435,1884.38
1645808400,1884.38,1885.83,1883.87,1884.125
1645809300,1884.125,1884.496,1883.215,1884.025
1645810200,1884.025,1885.03,1883.69,1884.37
1645811100,1884.37,1888.46,1884.106,1887.55
1645812000,1887.55,1889.495,1887.1,1889.244
1645812900,1889.244,1889.466,1885.764,1886.085
1645813800,1886.085,1888.785,1885.94,1888.525
1645814700,1888.525,1888.73,1886.62,1886.625
1645815600,1886.625,1888.82,1886.625,1888.565
1645816500,1888.565,1889.87,1887.805,1889.435
1645817400,1889.435,1890.59,1888.835,1889.32
1645818300,1889.32,1890.995,1888.97,1890.696
1645819200,1890.696,1892.84,1890.55,1892.066
1645820100,1892.066,1892.93,1891.72,1892.66
1645821000,1892.66,1892.78,1891.43,1892.065
1645821900,1892.065,1892.47,1889.515,1890.8
1645822800,1890.8,1891.075,1888.915,1889.015
1645823700,1889.015,1889.015,1886.88,1887.42
1645824600,1887.42,1887.966,1887.11,1887.8
1645825500,1887.8,1889.326,1887.8,1889.324
1646002800,1889.324,1927.48,1889.324,1914.236
1646003700,1914.236,1916.346,1905.705,1914.665
1646004600,1914.665,1915.24,1904.975,1905.615
1646005500,1905.615,1910.426,1904.43,1910.285
1646006400,1910.285,1911.426,1908.055,1908.845
1646007300,1908.845,1911.916,1907.415,1910.465
1646008200,1910.465,1915.93,1910.315,1914.825
1646009100,1914.825,1919.495,1914.6,1917.675
1646010000,1917.675,1917.77,1906.095,1908.48
1646010900,1908.48,1911.85,1907.605,1910.79
1646011800,1910.79,1912.62,1910.06,1911.97
1646012700,1911.97,1914.47,1911.935,1913.495
1646013600,1913.495,1913.704,1910.825,1911.12
1646014500,1911.12,1913.34,1909.675,1911.09
1646015400,1911.09,1911.856,1909.59,1910.21
1646016300,1910.21,1911.505,1908.59,1909.615
1646017200,1909.615,1910.756,1908.44,1908.51
